"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",-2.14058814278071,-2.56441145588723,-3.87000401042477,-1.7193594128736,-2.10552345584243
"2","TC",2.33047175505638,2.13261440951902,0.356352849251511,2.4857703840759,2.80306667686115
"3","FAT_mass",-5.40280437925885,-4.89937244483787,-5.73768103362363,-6.87278223288951,-4.78662563544918
"4","HDL_C",3.66600968135056,3.50007774238599,3.39371402107275,4.38337050690815,3.56927223755968
"5","LDL_C",1.81158599858823,1.85266771608531,0.383800447677938,1.68021974065973,2.42047500637896
"6","BMI",-2.05854156387209,-1.47911577803005,-2.2091146886091,-2.48168143031361,-1.27921893399418
"7","SPPB",6.24798027200433,5.52113510975002,4.0568301725762,6.997861642234,5.43161173023593
"8","Frailty_B",5.35088632318743,4.09824290391183,2.5449266075588,4.26115490398685,4.75591372293406
"9","CES_D",-0.961398425031134,-0.597563164939891,-0.337863438400396,-0.897617731773645,-0.483396619380742
"10","Overall",2.95791283074976,3.33042597983354,1.18016209372817,2.47073527417607,3.44884038730818
