"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",0.00404651366437245,0.00201160781360053,3.00548361870039e-05,0.00420078715652165,0.0079209155407173
"2","TC",0.00121454358493495,0.000504944939433695,0.0324080232135521,0.000116433319950672,0.000144272873291953
"3","FAT_mass",5.22888828203182e-13,1.6626385039709e-08,1.26148018671394e-11,5.22813756207991e-18,2.40702491228572e-08
"4","HDL_C",3.43764261009957e-06,8.0854358862682e-08,2.525871947095e-09,6.36942449985504e-11,1.52456762212589e-07
"5","LDL_C",0.00614456182792834,0.00426009607989215,0.127751770521096,0.00527254903417755,0.00176677011822108
"6","BMI",0.286613599671854,0.428727939833819,0.321164574419749,0.0289974954897241,0.431872158307171
"7","SPPB",3.29934291709329e-24,7.34711133698222e-26,1.19651693334041e-13,2.12450425372774e-35,1.23060999006679e-24
"8","Frailty_B",1.61067657642547e-14,9.02396270282655e-13,7.82475854612161e-08,2.24844930112177e-15,5.216294339046e-14
"9","CES_D",0.00201346949545975,0.00164661935409501,8.99658341479416e-05,5.35579431311436e-05,0.00681494504229999
"10","Overall",1.46368719618582e-05,1.36127000676551e-10,5.37899545283732e-05,2.79561536361862e-08,1.12180091729747e-08
