"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",-2.20278845005559,-2.66685251138417,-3.89813945345252,-1.88459282321806,-2.17433957544913
"2","TC",2.10366732529161,1.89135984650357,0.0295610240095368,2.14409310673665,2.62916737729321
"3","FAT_mass",-5.37449019504795,-4.91911504458962,-5.7877265459843,-6.86864046053339,-4.82486314127619
"4","HDL_C",3.32624669249539,3.08317378738623,3.08142278231096,3.89496834108149,3.18975554717827
"5","LDL_C",1.74154932144738,1.81130425976847,0.184356411789325,1.57662394381777,2.42496851775905
"6","BMI",-1.90692953251655,-1.41953632131254,-2.19174580791424,-2.34659962159093,-1.18457500286444
"7","SPPB",6.03605860562569,5.26347810845414,3.71721759520952,6.66162447563778,5.25116750532483
"8","Frailty_B",5.12723696923107,3.82215905123686,2.16998463783456,3.95077349107469,4.54728277076377
"9","CES_D",-0.904605091241561,-0.594876373086594,-0.363000822883289,-0.785900830403115,-0.464085622708101
"10","Overall",2.4614645282397,2.80772966587722,0.76397579431566,1.7654664593362,2.94125610218192
