"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",0.00177745535503455,0.0107959211586418,0.000752831433034025,0.00266343168154512,0.0219839836958465
"2","TC",0.0137377582015802,0.0250385633952571,0.248083944665028,0.00158939192301997,0.0476073859366292
"3","FAT_mass",1.81104433635005e-06,1.06077025991249e-05,1.6562207585826e-08,1.98726030407564e-08,2.46431505068809e-05
"4","HDL_C",0.0307938150031107,0.0526628778007755,0.301578492697684,0.0131115188794362,0.0996651943079201
"5","LDL_C",2.0217040633525e-05,0.000189340135724535,0.000267616411124799,1.14492960663521e-07,0.000282729980676683
"6","BMI",0.752086701803933,0.672461157737113,0.648223532754758,0.246141713380169,0.558491785337151
"7","SPPB",4.20128171089966e-07,2.31091228305946e-10,8.83223528295417e-09,5.07104733002846e-13,9.58744242022318e-09
"8","Frailty_B",5.87214471050093e-09,8.84523113228991e-08,1.86372668353745e-05,1.63821064609648e-07,2.30977611870074e-07
"9","CES_D",0.0343382883236604,0.00477188109880942,0.000452576837183875,0.00319170991220388,0.0281534107305173
"10","Overall",0.0386543150760926,0.000261525926803739,0.0294568534211128,0.000374857606970185,0.000811589863591628
