"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",-3.14647206117161,-2.56135806799565,-3.39604576577143,-3.0232517199345,-2.29971271251904
"2","TC",2.47509543198242,2.24935642362801,1.15672032461247,3.17985927776403,1.98703257491628
"3","FAT_mass",-4.86874659921976,-4.47963802180358,-5.80122287943485,-5.76719963177429,-4.28434784416657
"4","HDL_C",2.16753634717114,1.94355314490014,1.03441456744687,2.49206413567492,1.65037488662236
"5","LDL_C",4.31461741281933,3.76832225834578,3.67792002434078,5.40109165796491,3.66339779888212
"6","BMI",-0.316096947299429,-0.423070831657717,-0.456561316682865,-1.16140080274991,-0.585553218988788
"7","SPPB",5.15248554983516,6.52079985746411,5.88762591265372,7.49254474716837,5.87276786190703
"8","Frailty_B",5.95442540315467,5.45328726347551,4.33479027939386,5.33424311075145,5.26695144725317
"9","CES_D",-2.12353245759773,-2.83834538884143,-3.53749686953266,-2.96707401866354,-2.20335927826409
"10","Overall",2.07599672286118,3.6899933535266,2.1866565973311,3.59364921222314,3.37949842136569
