"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",0.0605360481473366,0.00957474850432564,0.00333882919762406,0.00991535799775661,0.0831621776526313
"2","TC",0.0272368149950269,0.0246376406379477,0.356345594329053,0.00662132932715806,0.00422601158130276
"3","FAT_mass",2.45510334459955e-05,1.15150771377024e-05,1.71449273060004e-05,4.07075966490994e-09,2.29471650247065e-05
"4","HDL_C",0.0201906561162851,0.0167171596934597,0.240205271923766,0.00723764097916572,0.00460593544612571
"5","LDL_C",0.0125334538037553,0.00149291432962266,0.00655848161719204,0.000129185451812841,0.00267260477152693
"6","BMI",0.508655984397512,0.459031585619264,0.422775462495855,0.0960061894957461,0.581273645894368
"7","SPPB",4.44995386403307e-08,1.44541082755592e-13,2.83010260310469e-09,3.92881062409535e-15,6.84664349751298e-12
"8","Frailty_B",0.00409764137526407,8.51519202649777e-05,0.00156175561363772,2.20680303413792e-06,0.000229739848693922
"9","CES_D",0.296281443434117,0.772155142185097,0.48411559008567,0.523224820562824,0.604868536997685
"10","Overall",0.0202467109630107,2.56984995874623e-05,0.0432271310649496,0.000686190079493543,0.000230781390324451
